ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
32 MQB_70.2017.22.3 tumbaga semi_plana femenino si si 5 si femenino_herradura_hacia_abajo pájaros un_palito N/A N/A N/A N/A colmena N/A N/A N/A N/A placa_y_collar_largos N/A N/A un_hilo
33 MQB_70.2017.22.4 tumbaga plana masculino si si 2 si masculino_sin_gonadas_hacia_abajo N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A adicionales
34 MQB_70.2017.22.5 tumbaga figurilla no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A perlitas N/A N/A indeterminado
35 MQB_70.2017.22.8 tumbaga plana femenino si si 3 si femenino_herradura_hacia_abajo poporo N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
36 MQB_70.2017.22.9 tumbaga figurilla no_tiene si si 2 si no_tiene bastones_diversos N/A N/A N/A N/A N/A casco N/A N/A N/A N/A N/A N/A N/A N/A
37 MQB_70.2017.22.15 cobre semi_plana masculino si si 3 si masculino_con_gonadas_hacia_arriba N/A N/A N/A N/A N/A N/A colmena N/A N/A argollas_simples N/A argollas N/A N/A N/A
38 MQB_70.2017.22.21 cobre figurilla no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A argollas N/A N/A indeterminado
39 MQB_71.1891.57.107 tumbaga figurilla indeterminado si si 3 si indeterminado N/A N/A N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A N/A N/A N/A hojas
40 MQB_71.1933.30.2 tumbaga semi_plana masculino si si 7 si masculino_con_gonadas_hacia_arriba propulsor poporo N/A N/A N/A N/A cilíndrico canutos_en_boca N/A colgantes_A N/A argollas N/A N/A un_hilo
41 MQB_71.1933.30.3 tumbaga semi_plana femenino si si 4 si femenino_herradura_hacia_abajo propulsor un_palito N/A N/A N/A N/A no_tiene N/A N/A N/A N/A placa_maciza N/A N/A un_hilo
